               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.012715,           0.0066254,                   0,             0.99958,                   1,               0.995,              0.8527,           0.0044126,           0.0023843,                   0,            0.005776,            0.005776,            0.005776
                 130,             0.01402,           0.0071398,                   0,             0.99959,                   1,               0.995,             0.84936,           0.0044668,           0.0023352,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.012395,           0.0067157,                   0,             0.99967,                   1,               0.995,             0.85643,           0.0044346,           0.0022997,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.014686,           0.0069751,                   0,             0.99959,                   1,               0.995,              0.8515,           0.0043107,           0.0022857,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.013236,           0.0068089,                   0,             0.99959,                   1,               0.995,             0.86077,           0.0042854,           0.0022577,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.011174,           0.0069327,                   0,             0.99958,                   1,               0.995,             0.86599,           0.0041402,           0.0022283,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.010325,           0.0065929,                   0,             0.99956,                   1,               0.995,             0.86312,           0.0041885,           0.0022828,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.013248,           0.0067854,                   0,             0.99954,                   1,               0.995,             0.85228,           0.0043117,           0.0022561,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.012612,            0.006896,                   0,             0.99965,                   1,               0.995,              0.8583,           0.0043321,           0.0022759,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.012999,           0.0067267,                   0,             0.99955,                   1,               0.995,             0.85344,           0.0044084,           0.0023396,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.011943,           0.0067838,                   0,             0.99952,                   1,               0.995,              0.8671,           0.0043298,            0.002303,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.012571,           0.0069169,                   0,             0.99955,                   1,               0.995,             0.85212,           0.0045719,           0.0023402,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.012518,            0.006802,                   0,             0.99953,                   1,               0.995,             0.85974,           0.0042782,           0.0022734,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.010536,           0.0066779,                   0,             0.99956,                   1,               0.995,             0.86735,           0.0041272,           0.0022359,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.011065,           0.0064588,                   0,             0.99962,                   1,               0.995,              0.8686,           0.0041687,           0.0022788,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.012842,             0.00664,                   0,             0.99951,                   1,               0.995,             0.87298,           0.0040537,           0.0022156,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.012413,           0.0070371,                   0,             0.99947,                   1,               0.995,             0.86396,           0.0042001,           0.0023199,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.011963,           0.0065897,                   0,             0.99947,                   1,               0.995,             0.85039,           0.0044947,           0.0023827,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.010909,           0.0067611,                   0,             0.99958,                   1,               0.995,             0.84425,           0.0043983,           0.0022953,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.012241,            0.006801,                   0,              0.9995,                   1,               0.995,             0.85198,           0.0042683,           0.0022964,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.013153,           0.0071371,                   0,             0.99954,                   1,               0.995,             0.85673,           0.0042712,           0.0022757,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.010625,           0.0065763,                   0,             0.99956,                   1,               0.995,             0.87265,           0.0040319,           0.0022569,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.013175,           0.0065323,                   0,             0.99957,                   1,               0.995,             0.86672,           0.0040742,           0.0022867,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.011418,           0.0066004,                   0,              0.9996,                   1,               0.995,             0.87385,           0.0042463,             0.00226,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.013557,           0.0064225,                   0,             0.99956,                   1,               0.995,              0.8697,            0.004129,           0.0022388,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.011581,           0.0067617,                   0,             0.99953,                   1,               0.995,             0.86657,           0.0041483,           0.0023267,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.012125,           0.0065906,                   0,             0.99951,                   1,               0.995,             0.86627,           0.0041066,             0.00228,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.011379,           0.0063623,                   0,             0.99949,                   1,               0.995,             0.85546,           0.0041685,           0.0022911,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.010517,            0.006307,                   0,             0.99951,                   1,               0.995,             0.86332,           0.0042534,           0.0022467,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.011639,            0.006523,                   0,             0.99957,                   1,               0.995,             0.84736,           0.0045429,           0.0023708,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.010083,            0.006634,                   0,             0.99952,                   1,               0.995,             0.87253,           0.0041633,           0.0023153,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.012395,            0.006868,                   0,             0.99958,                   1,               0.995,             0.86311,           0.0042844,           0.0023396,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.012098,           0.0069761,                   0,             0.99955,                   1,               0.995,             0.86908,           0.0040988,           0.0022999,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.010641,           0.0065446,                   0,             0.99956,                   1,               0.995,             0.85929,           0.0041498,           0.0022888,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.010761,           0.0065172,                   0,             0.99956,                   1,               0.995,             0.84961,           0.0044023,           0.0022568,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.011405,           0.0065652,                   0,             0.99957,                   1,               0.995,             0.86276,           0.0041363,           0.0022393,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.011218,           0.0064497,                   0,             0.99958,                   1,               0.995,             0.85822,           0.0041642,           0.0023504,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.013304,           0.0069512,                   0,             0.99957,                   1,               0.995,             0.86678,           0.0042196,           0.0022882,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.010762,           0.0064346,                   0,             0.99959,                   1,               0.995,             0.87257,           0.0041792,           0.0023182,                   0,            0.004522,            0.004522,            0.004522
